APP,OkHttp,极光推送,个推推送,友盟推送,小米推送,信鸽推送,华为推送,魅族推送
淘宝Lite,NO,NO,NO,NO,NO,NO,NO,NO
YohoBuy有货,NO,NO,YES,NO,YES,NO,YES,NO
小Y省钱,NO,NO,YES,NO,NO,NO,NO,NO
闲转,YES,YES,NO,NO,NO,NO,NO,NO
卷皮9.9包邮,YES,NO,YES,NO,YES,NO,YES,NO
SNKRS,YES,NO,NO,NO,NO,NO,NO,NO
TheBay,NO,NO,NO,NO,NO,NO,NO,NO
1号店,YES,NO,NO,NO,YES,NO,YES,YES
中捷购,NO,NO,NO,NO,NO,NO,NO,NO
惠农网,YES,NO,YES,NO,YES,NO,YES,YES
小红书,YES,YES,NO,NO,YES,NO,YES,YES
毒物,NO,NO,YES,NO,NO,NO,NO,NO
别样海外购,YES,YES,NO,NO,NO,NO,NO,NO
宝贝日记,NO,YES,NO,NO,NO,NO,NO,NO
国美,YES,NO,NO,NO,YES,NO,YES,YES
快递查询,YES,NO,NO,NO,NO,NO,NO,NO
转转,YES,NO,YES,NO,YES,NO,YES,YES
苏宁拼购,YES,NO,NO,YES,YES,NO,YES,YES
真降价,NO,NO,NO,NO,YES,NO,NO,NO
单单券,YES,YES,NO,NO,NO,NO,NO,NO
服装圈,NO,NO,NO,NO,NO,NO,NO,NO
早范,NO,YES,NO,NO,NO,NO,NO,NO
折800,YES,NO,YES,NO,YES,YES,YES,NO
贝贝,YES,NO,YES,NO,YES,YES,YES,NO
大众点评,YES,NO,NO,NO,YES,NO,YES,YES
柚子街,YES,YES,NO,NO,YES,NO,YES,YES
自由快送员,NO,YES,NO,NO,NO,NO,NO,NO
苏宁易购,YES,NO,NO,YES,YES,NO,YES,YES
丝芙兰SEPHORA,YES,NO,NO,YES,NO,NO,YES,NO
bywho旗舰店,NO,NO,NO,NO,NO,NO,NO,NO
惠淘联盟,NO,YES,NO,NO,NO,NO,NO,NO
美团骑手,YES,NO,NO,NO,YES,NO,YES,NO
木马生活,NO,NO,NO,NO,NO,NO,NO,NO
快递100,YES,NO,NO,NO,YES,NO,NO,NO
哈哈优惠,YES,NO,NO,NO,NO,NO,NO,NO
花生日记,YES,YES,NO,NO,YES,NO,YES,YES
