APP,OkHttp,极光推送,个推推送,友盟推送,小米推送,信鸽推送,华为推送,魅族推送
好友定位宝,NO,NO,YES,NO,YES,NO,YES,NO
天气通,NO,NO,YES,NO,YES,NO,YES,NO
专业变声器,YES,NO,NO,NO,NO,NO,NO,NO
安居客,YES,NO,YES,NO,YES,NO,YES,NO
放大镜,NO,NO,NO,NO,NO,NO,NO,NO
家常菜谱大全,NO,NO,NO,YES,NO,NO,NO,NO
口碑,NO,NO,NO,NO,YES,NO,YES,YES
手机监控,YES,NO,NO,NO,NO,NO,NO,NO
镜子,NO,NO,NO,NO,NO,NO,NO,NO
美食杰,YES,NO,NO,YES,NO,NO,NO,NO
微信定位精灵,YES,NO,NO,NO,NO,NO,NO,NO
计算器,NO,NO,NO,NO,NO,NO,NO,NO
瓜子二手车,YES,YES,NO,NO,YES,NO,YES,NO
掌上兼职,NO,NO,YES,NO,YES,NO,YES,YES
58同城,YES,NO,YES,NO,YES,NO,YES,NO
毛豆新车,YES,YES,NO,NO,YES,NO,YES,NO
九妖游戏,YES,NO,YES,NO,NO,NO,NO,NO
4399在线玩,YES,YES,NO,NO,NO,NO,NO,NO
货拉拉,YES,NO,YES,NO,YES,NO,YES,YES
好豆,YES,NO,NO,NO,YES,YES,YES,NO
汽车之家,YES,YES,YES,NO,YES,NO,YES,YES
房天下,YES,NO,YES,NO,NO,NO,YES,YES
红包捕手,NO,NO,NO,YES,NO,NO,NO,NO
看手相,YES,NO,NO,YES,NO,NO,NO,NO
画吧,YES,NO,NO,YES,NO,NO,NO,NO
早游戏,YES,YES,NO,YES,NO,NO,YES,YES
链家,YES,NO,YES,NO,YES,NO,YES,NO
下厨房,YES,NO,NO,NO,YES,NO,NO,NO
格子画,NO,NO,NO,NO,NO,NO,NO,NO
赶集网,YES,YES,YES,NO,YES,NO,YES,NO
万达电影,YES,YES,NO,NO,NO,NO,NO,NO
变声器,YES,NO,NO,NO,NO,NO,NO,NO
天气预报,NO,NO,NO,YES,NO,NO,YES,NO
彩云天气,YES,NO,NO,NO,YES,NO,NO,NO
自动距离测量,NO,NO,NO,NO,NO,NO,NO,NO
